Date/Time,ZONE ONE:Zone People Occupant Count [](TimeStep),ZONE ONE:Zone Lights Total Heating Energy [J](TimeStep),ZONE ONE:Zone Electric Equipment Total Heating Energy [J](TimeStep),ZONE ONE:Zone Air Temperature [C](TimeStep),BOILER 1:Boiler Heating Rate [W](TimeStep),CHILLER 1:Chiller Evaporator Cooling Rate [W](TimeStep) 
 07/20  20:10:00,2.0,210000.0,221759.99999999995,25.000675965532119,83.6643067074022,1097.9166677005035 
 07/20  20:20:00,2.0,210000.0,221759.99999999995,25.001245312433736,93.42906982433573,1086.042458630806 
 07/20  20:30:00,2.0,210000.0,221759.99999999995,24.99975231652618,102.81232125108261,1073.898781522191 
 07/20  20:40:00,2.0,210000.0,221759.99999999995,24.9994706925151,114.12867564332554,1061.4925088337554 
 07/20  20:50:00,2.0,210000.0,221759.99999999995,25.000510893025724,125.49360177391638,1048.830198116324 
 07/20  21:00:00,2.0,210000.0,221759.99999999995,25.000464630927888,135.68407044774686,1035.9185597649266 
 07/20  21:10:00,2.0,180000.0,190080.0,25.001428782953857,191.45100881678443,1040.5108538897891 
 07/20  21:20:00,2.0,180000.0,190080.0,25.00170220661877,206.72876264180298,1045.3502230380122 
 07/20  21:30:00,2.0,180000.0,190080.0,25.000339476954808,215.02606628120004,1050.126696095996 
 07/20  21:40:00,2.0,180000.0,190080.0,25.001644913981989,224.83177115520344,1054.8400891679062 
 07/20  21:50:00,2.0,180000.0,190080.0,24.99963550220712,229.4007502853726,1059.4892698494648 
 07/20  22:00:00,2.0,180000.0,190080.0,25.001595260385334,238.649035909421,1064.0740211839563 
 07/20  22:10:00,0.0,12000.0,12672.0,25.056993788410336,0.0,0.0 
 07/20  22:20:00,0.0,12000.0,12672.0,25.085147630007147,0.0,0.0 
 07/20  22:30:00,0.0,12000.0,12672.0,25.077417354450409,0.0,0.0 
 07/20  22:40:00,0.0,12000.0,12672.0,25.05900375105474,0.0,0.0 
 07/20  22:50:00,0.0,12000.0,12672.0,25.04560693079123,0.0,0.0 
 07/20  23:00:00,0.0,12000.0,12672.0,25.038753153774136,0.0,0.0 
 07/20  23:10:00,0.0,12000.0,12672.0,25.01696236229597,0.0,0.0 
 07/20  23:20:00,0.0,12000.0,12672.0,24.976124938482348,0.0,0.0 
 07/20  23:30:00,0.0,12000.0,12672.0,24.92186382871245,0.0,0.0 
 07/20  23:40:00,0.0,12000.0,12672.0,24.85899954466514,0.0,0.0 
 07/20  23:50:00,0.0,12000.0,12672.0,24.78933693073866,0.0,0.0 
 07/20  24:00:00,0.0,12000.0,12672.0,24.713381821446853,0.0,0.0 
